Numero,Nombre_Zenput,Ciudad,Estado,Direccion,Lat,Lon,Tags,Campos_Adicionales
45,45 - Triana,Torreon,CO,"Blvd, Rodríguez Triana #950, Col. Las Misiones,",,,All Locations,region:None; time_zone:America/Monterrey
46,46 - Campestre,Gomez Palacio,DG,"Blvd. Miguel Alemán #717, Col. El Campestre",,,All Locations,region:None; time_zone:America/Mexico_City
47,47 - San Antonio,Gomez Palacio,DG,"Blvd. Ejército Mexicano #396, Fraccionamiento San Antonio",,,All Locations,region:None; time_zone:America/Mexico_City
48,48 - Refugio,Queretaro,QT,"Anillo vial F.J. Serra #151 Col. El Refugio. Querétaro, QRO",,,All Locations,region:None; time_zone:America/Mexico_City
49,49 - Pueblito,Corregidora,QT,Paseo Constituyentes #1527 Col. Pueblito,,,All Locations,region:None; time_zone:America/Mexico_City
5,5 - Felix U. Gomez,Monterrey,NL,Av. Francisco I. Madero #1536 ote. Col. Centro,,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
50,50 - Patio,Queretaro,QT,Ave. Revolución #99 Col. Puertas del Sol,,,All Locations,region:None; time_zone:America/Mexico_City
51,51 - Constituyentes,Queretaro,QT,Ave. Constituyentes #274 Col. Casablanca,,,All Locations,region:None; time_zone:America/Mexico_City
52,52 - Venustiano Carranza,Saltillo,CO,"BLVD. Venustiano Carranza, No.3680 col. Jardín",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
53,53 - Lienzo Charro,Saltillo,CO,"Periférico. Luis Echeverria Álvarez, No. 540 Col. Lourdes",,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
54,54 - Ramos Arizpe,Ramos Arizpe,CO,"BLVD. Miguel Ramos Arizpe Sur, No. 18 Col. Ramos Arizpe Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
55,55 - Eulalio Gutierrez,Saltillo,CO,"Eulalio Gutiérrez Treviño, No. 600 Col. Ex Hacienda de los Cerritos",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
56,56 - Luis Echeverria,Saltillo,CO,Periférico. Luis Echeverría Hacienda No.1980 Col. La Magueyada,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
57,57 - Harold R. Pape,Monclova,CO,"Harold R. Pape No.1903, Col. La Salle",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
58,58 - Universidad (Tampico),Tampico,TM,"Av. Universidad #1702, Col. Universidad sur,",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
59,59 - Plaza 3601,Tampico,TM,"Av. Hidalgo #3601, Col. Guadalupe",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
6,6 - Garcia,Garcia,NL,"Av. Heberto Castillo Martínez #1360 int. 14, Col. Mirador de Garcia",,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
60,60 - Centro (Tampico),Tampico,TM,"Diaz Miron #115 local 2, Col. Centro,",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
61,61 - Aeropuerto (Tampico),Tampico,TM,"Carretera Tampico-Mante #6904, Col, Arenal,",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
62,62 - Lazaro Cardenas (Morelia),Morelia,MI,"Av. Lázaro Cárdenas No,2995, Chapultepec Norte",,,All Locations; EPL CAS,region:None; time_zone:America/Mexico_City
63,63 - Madero (Morelia),Morelia,MI,"Av. Madero Pte. No. 1086, Col. Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Mexico_City
64,64 - Huerta,Morelia,MI,"Periférico Paseo de la Republica No. 3140, Col. Ex – hacienda de la Huerta",,,All Locations; EPL CAS,region:None; time_zone:America/Mexico_City
65,65 - Pedro Cardenas,Matamoros,TM,"Av. Pedro Cárdenas 4001 A, Jaumave Fraccionamiento",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
66,66 - Lauro Villar,Matamoros,TM,"Av. Gral. Lauro Villar 1, Treviño Zapata",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
67,67 - Centro (Matamoros),Matamoros,TM,"Cinco 50, Col. Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
